Järjestelmäkaappi;;;;;;;;;
IO-kaappi;Asema;Positio;Kortti;IBC;Slot;Kanava;;Huom.;Revisio
CR01;FP01;HSV100;DO8P;0;0;0;;;
CR01;FP01;HSV101;DO8P;0;0;1;;;
CR01;FP01;HSV118;DO8P;0;0;2;;;
CR01;FP01;HSV132;DO8P;0;0;3;;;
CR01;FP01;HSV133;DO8P;0;0;4;;;
CR01;FP01;RESERVI;DO8P;0;0;5;;;
CR01;FP01;RESERVI;DO8P;0;0;6;;;
CR01;FP01;RESERVI;DO8P;0;0;7;;;
CR01;FP01;HV100;DI8P;0;1;0;;;
CR01;FP01;HV101;DI8P;0;1;1;;;
CR01;FP01;HV132;DI8P;0;1;2;;;
CR01;FP01;HV133;DI8P;0;1;3;;;
CR01;FP01;RESERVI;DI8P;0;1;4;;;
CR01;FP01;RESERVI;DI8P;0;1;5;;;
CR01;FP01;RESERVI;DI8P;0;1;6;;;
CR01;FP01;RESERVI;DI8P;0;1;7;;;
CR01;FP01;HV100;DI8P;0;2;0;;;
CR01;FP01;HV101;DI8P;0;2;1;;;
CR01;FP01;HV132;DI8P;0;2;2;;;
CR01;FP01;HV133;DI8P;0;2;3;;;
CR01;FP01;RESERVI;DI8P;0;2;4;;;
CR01;FP01;RESERVI;DI8P;0;2;5;;;
CR01;FP01;RESERVI;DI8P;0;2;6;;;
CR01;FP01;RESERVI;DI8P;0;2;7;;;
CR01;FP01;HS001;DO8P;0;3;0;;;
CR01;FP01;TS160;DO8P;0;3;1;;;
CR01;FP01;RESERVI;DO8P;0;3;2;;;
CR01;FP01;RESERVI;DO8P;0;3;3;;;
CR01;FP01;RESERVI;DO8P;0;3;4;;;
CR01;FP01;RESERVI;DO8P;0;3;5;;;
CR01;FP01;RESERVI;DO8P;0;3;6;;;
CR01;FP01;RESERVI;DO8P;0;3;7;;;
CR01;FP01;GS001;DI8P;0;4;0;;;
CR01;FP01;PDSH103;DI8P;0;4;1;;;
CR01;FP01;PS104;DI8P;0;4;2;;;
CR01;FP01;TS105;DI8P;0;4;3;;;
CR01;FP01;TS105;DI8P;0;4;4;;;
CR01;FP01;FS106;DI8P;0;4;5;;;
CR01;FP01;GS112;DI8P;0;4;6;;;
CR01;FP01;GS112;DI8P;0;4;7;;;
CR01;FP01;GS113;DI8P;0;5;0;;;
CR01;FP01;HS115;DI8P;0;5;1;;;
CR01;FP01;HS115;DI8P;0;5;2;;;
CR01;FP01;HS115;DI8P;0;5;3;;;
CR01;FP01;HS116;DI8P;0;5;4;;;
CR01;FP01;FS119;DI8P;0;5;5;;;
CR01;FP01;PS124;DI8P;0;5;6;;;
CR01;FP01;PS125;DI8P;0;5;7;;;
CR01;FP01;TS160;DI8P;0;6;4;;;
CR01;FP01;PA165;DI8P;0;6;5;;;
CR01;FP01;RESERVI;DI8P;0;6;6;;;
CR01;FP01;RESERVI;DI8P;0;6;7;;;
CR01;FP01;RESERVI;DI8P;0;7;0;;;
CR01;FP01;RESERVI;DI8P;0;7;1;;;
CR01;FP01;RESERVI;DI8P;0;7;2;;;
CR01;FP01;RESERVI;DI8P;0;7;3;;;
CR01;FP01;FA166;DI8P;0;7;4;;;
CR01;FP01;FA166;DI8P;0;7;5;;;
CR01;FP01;FA167;DI8P;0;7;6;;;
CR01;FP01;FA167;DI8P;0;7;7;;;
CR01;FP01;LS161;DI8N;0;8;0;;;
CR01;FP01;RESERVI;DI8N;0;8;1;;;
CR01;FP01;RESERVI;DI8N;0;8;2;;;
CR01;FP01;RESERVI;DI8N;0;8;3;;;
CR01;FP01;RESERVI;DI8N;0;8;4;;;
CR01;FP01;RESERVI;DI8N;0;8;5;;;
CR01;FP01;RESERVI;DI8N;0;8;6;;;
CR01;FP01;RESERVI;DI8N;0;8;7;;;
CR01;FP01;QT000;AI8H;0;9;0;;;
CR01;FP01;PT002;AI8H;0;9;1;;;
CR01;FP01;TT107;AI8H;0;9;2;;;
CR01;FP01;EC108;AI8H;0;9;3;;;
CR01;FP01;FT122;AI8H;0;9;4;;;
CR01;FP01;FT123;AI8H;0;9;5;;;
CR01;FP01;RESERVI;AI8H;0;9;6;;;
CR01;FP01;RESERVI;AI8H;0;9;7;;;
CR01;FP01;PT126;AI8H;0;10;0;;;
CR01;FP01;PT127;AI8H;0;10;1;;;
CR01;FP01;PT134;AI8H;0;10;4;;;
CR01;FP01;FT135;AI8H;0;10;5;;;
CR01;FP01;TT150;AI8H;0;10;6;;;
CR01;FP01;TT151;AI8H;0;10;7;;;
CR01;FP01;TT152;AI8H;0;11;0;;;
CR01;FP01;TT153;AI8H;0;11;1;;;
CR01;FP01;TT154;AI8H;0;11;2;;;
CR01;FP01;TT155;AI8H;0;11;3;;;
CR01;FP01;TT156;AI8H;0;11;4;;;
CR01;FP01;TT157;AI8H;0;11;5;;;
CR01;FP01;TT158;AI8H;0;11;6;;;
CR01;FP01;XT159;AI8H;0;11;7;;;
CR01;FP01;TT162;AI8H;0;12;0;;;
CR01;FP01;LT164;AI8H;0;12;1;;;
CR01;FP01;RESERVI;AI8H;0;12;2;;;
CR01;FP01;RESERVI;AI8H;0;12;3;;;
CR01;FP01;RESERVI;AI8H;0;12;4;;;
CR01;FP01;RESERVI;AI8H;0;12;5;;;
CR01;FP01;RESERVI;AI8H;0;12;6;;;
CR01;FP01;RESERVI;AI8H;0;12;7;;;
CR01;FP01;QV000;AO4H;0;13;0;;;
CR01;FP01;PV002;AO4H;0;13;1;;;
CR01;FP01;TV107;AO4H;0;13;2;;;
CR01;FP01;FV122;AO4H;0;13;3;;;
CR01;FP01;FV123;AO4H;0;14;0;;;
CR01;FP01;PV134;AO4H;0;14;1;;;
CR01;FP01;FV135;AO4H;0;14;2;;;
CR01;FP01;TV150;AO4H;0;14;3;;;
CR01;FP01;TT162;AO4H;0;15;0;;;
CR01;FP01;RESERVI;AO4H;0;15;1;;;
CR01;FP01;RESERVI;AO4H;0;15;2;;;
CR01;FP01;RESERVI;AO4H;0;15;3;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
CR01;FP01;HSV200;DO8P;1;0;0;;;
CR01;FP01;HSV201;DO8P;1;0;1;;;
CR01;FP01;HSV218;DO8P;1;0;2;;;
CR01;FP01;HSV232;DO8P;1;0;3;;;
CR01;FP01;HSV233;DO8P;1;0;4;;;
CR01;FP01;RESERVI;DO8P;1;0;5;;;
CR01;FP01;RESERVI;DO8P;1;0;6;;;
CR01;FP01;RESERVI;DO8P;1;0;7;;;
CR01;FP01;HV200;DI8P;1;1;0;;;
CR01;FP01;HV201;DI8P;1;1;1;;;
CR01;FP01;HV232;DI8P;1;1;2;;;
CR01;FP01;HV233;DI8P;1;1;3;;;
CR01;FP01;RESERVI;DI8P;1;1;4;;;
CR01;FP01;RESERVI;DI8P;1;1;5;;;
CR01;FP01;RESERVI;DI8P;1;1;6;;;
CR01;FP01;RESERVI;DI8P;1;1;7;;;
CR01;FP01;HV200;DI8P;1;2;0;;;
CR01;FP01;HV201;DI8P;1;2;1;;;
CR01;FP01;HV232;DI8P;1;2;2;;;
CR01;FP01;HV233;DI8P;1;2;3;;;
CR01;FP01;RESERVI;DI8P;1;2;4;;;
CR01;FP01;RESERVI;DI8P;1;2;5;;;
CR01;FP01;RESERVI;DI8P;1;2;6;;;
CR01;FP01;RESERVI;DI8P;1;2;7;;;
CR01;FP01;TS260;DO8P;1;3;0;;;
CR01;FP01;RESERVI;DO8P;1;3;1;;;
CR01;FP01;RESERVI;DO8P;1;3;2;;;
CR01;FP01;RESERVI;DO8P;1;3;3;;;
CR01;FP01;RESERVI;DO8P;1;3;4;;;
CR01;FP01;RESERVI;DO8P;1;3;5;;;
CR01;FP01;RESERVI;DO8P;1;3;6;;;
CR01;FP01;RESERVI;DO8P;1;3;7;;;
CR01;FP01;PDSH203;DI8P;1;4;0;;;
CR01;FP01;PS204;DI8P;1;4;1;;;
CR01;FP01;TS205;DI8P;1;4;2;;;
CR01;FP01;TS205;DI8P;1;4;3;;;
CR01;FP01;FS206;DI8P;1;4;4;;;
CR01;FP01;GS212;DI8P;1;4;5;;;
CR01;FP01;GS212;DI8P;1;4;6;;;
CR01;FP01;GS213;DI8P;1;4;7;;;
CR01;FP01;HS215;DI8P;1;5;0;;;
CR01;FP01;HS215;DI8P;1;5;1;;;
CR01;FP01;HS215;DI8P;1;5;2;;;
CR01;FP01;HS216;DI8P;1;5;3;;;
CR01;FP01;FS219;DI8P;1;5;4;;;
CR01;FP01;PS224;DI8P;1;5;5;;;
CR01;FP01;PS225;DI8P;1;5;6;;;
CR01;FP01;TS260;DI8P;1;6;3;;;
CR01;FP01;PA265;DI8P;1;6;4;;;
CR01;FP01;FA266;DI8P;1;6;5;;;
CR01;FP01;FA266;DI8P;1;6;6;;;
CR01;FP01;FA267;DI8P;1;6;7;;;
CR01;FP01;FA267;DI8P;1;7;0;;;
CR01;FP01;RESERVI;DI8P;1;7;1;;;
CR01;FP01;RESERVI;DI8P;1;7;2;;;
CR01;FP01;RESERVI;DI8P;1;7;3;;;
CR01;FP01;RESERVI;DI8P;1;7;4;;;
CR01;FP01;RESERVI;DI8P;1;7;5;;;
CR01;FP01;RESERVI;DI8P;1;7;6;;;
CR01;FP01;RESERVI;DI8P;1;7;7;;;
CR01;FP01;LS261;DI8N;1;8;0;;;
CR01;FP01;RESERVI;DI8N;1;8;1;;;
CR01;FP01;RESERVI;DI8N;1;8;2;;;
CR01;FP01;RESERVI;DI8N;1;8;3;;;
CR01;FP01;RESERVI;DI8N;1;8;4;;;
CR01;FP01;RESERVI;DI8N;1;8;5;;;
CR01;FP01;RESERVI;DI8N;1;8;6;;;
CR01;FP01;RESERVI;DI8N;1;8;7;;;
CR01;FP01;TT207;AI8H;1;9;0;;;
CR01;FP01;EC208;AI8H;1;9;1;;;
CR01;FP01;RESERVI;AI8H;1;9;2;;;
CR01;FP01;RESERVI;AI8H;1;9;3;;;
CR01;FP01;FT222;AI8H;1;9;4;;;
CR01;FP01;FT223;AI8H;1;9;5;;;
CR01;FP01;PT226;AI8H;1;9;6;;;
CR01;FP01;PT227;AI8H;1;9;7;;;
CR01;FP01;PT234;AI8H;1;10;2;;;
CR01;FP01;RESERVI;AI8H;1;10;3;;;
CR01;FP01;FT235;AI8H;1;10;4;;;
CR01;FP01;TT250;AI8H;1;10;5;;;
CR01;FP01;TT251;AI8H;1;10;6;;;
CR01;FP01;TT252;AI8H;1;10;7;;;
CR01;FP01;TT253;AI8H;1;11;0;;;
CR01;FP01;TT254;AI8H;1;11;1;;;
CR01;FP01;TT255;AI8H;1;11;2;;;
CR01;FP01;TT256;AI8H;1;11;3;;;
CR01;FP01;TT257;AI8H;1;11;4;;;
CR01;FP01;TT258;AI8H;1;11;5;;;
CR01;FP01;XT259;AI8H;1;11;6;;;
CR01;FP01;RESERVI;AI8H;1;11;7;;;
CR01;FP01;RESERVI;AI8H;1;12;0;;;
CR01;FP01;RESERVI;AI8H;1;12;1;;;
CR01;FP01;RESERVI;AI8H;1;12;2;;;
CR01;FP01;RESERVI;AI8H;1;12;3;;;
CR01;FP01;RESERVI;AI8H;1;12;4;;;
CR01;FP01;RESERVI;AI8H;1;12;5;;;
CR01;FP01;RESERVI;AI8H;1;12;6;;;
CR01;FP01;RESERVI;AI8H;1;12;7;;;
CR01;FP01;TV207;AO4H;1;13;0;;;
CR01;FP01;FV222;AO4H;1;13;1;;;
CR01;FP01;FV223;AO4H;1;13;2;;;
CR01;FP01;PV234;AO4H;1;13;3;;;
CR01;FP01;FV235;AO4H;1;14;0;;;
CR01;FP01;TV250;AO4H;1;14;1;;;
CR01;FP01;RESERVI;AO4H;1;14;2;;;
CR01;FP01;RESERVI;AO4H;1;14;3;;;
CR01;FP01;RESERVI;AO4H;1;15;0;;;
CR01;FP01;RESERVI;AO4H;1;15;1;;;
CR01;FP01;RESERVI;AO4H;1;15;2;;;
CR01;FP01;RESERVI;AO4H;1;15;3;;;
